Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001218,QA28,ninaD,ai_ivanov,low,minor,always,,General,2023-07-04,,,,private,2023-07-04,"Сайт проекта ""Студия Арины Давыдовой"" не открывается при попытке перехода по ссылке",assigned,open,
0001217,QA28,ninaD,ai_ivanov,normal,text,always,,General,2023-07-03,,,,private,2023-07-03,"Орфографическая ошибка в заголовке страницы ""Расчет стоимости проекта""",assigned,open,
0001212,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Не кликабельная ссылка ""Blockchain"" в UA и EN локализациях",assigned,open,
0001216,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Нефункциональная и не кликабельная ссылка ""https://avada-media.ua/"" на странице ""PERSONAL DATA PROCESSING AGREEMENT""",assigned,open,
0001215,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Не кликабельная ссылка ""Android"" в UA локализации в разделе ""F.A.Q"" , в меню сайта",assigned,open,
0001211,QA28,ninaD,ai_ivanov,normal,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует перечень актуальных вакансий при заполнении формы ""Отправить резюме"", в футере раздела ""Контакты""",assigned,open,
0001210,QA28,ninaD,ai_ivanov,normal,major,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует валидация полей ФИО, номер телефона в форме в разделе ""Расчет стоимости""",assigned,open,
0001209,QA28,ninaD,ai_ivanov,low,text,always,,General,2023-07-03,,,,private,2023-07-03,"Орфографическая ошибка при RU локализации на странице  ""Расчет стоимости""",assigned,open,
0001213,QA28,ninaD,ai_ivanov,normal,major,always,,General,2023-07-03,,,,private,2023-07-03,Наложение логотипа на активный элемент главной страницы,assigned,open,
0001214,QA28,ninaD,ai_ivanov,low,minor,always,,General,2023-07-03,,,,private,2023-07-03,"Отсутствует локализация  UA  в разделе ""Стрічка""",assigned,open,
0001203,QA28,Denis,ai_ivanov,low,trivial,always,,General,2023-07-03,,,,private,2023-07-03,Количество символов в поисковой строке достигает 1514 символов.,assigned,open,
0001201,QA28,Denis,ai_ivanov,high,tweak,always,,General,2023-07-03,,,Windows,private,2023-07-03,Не читаемость текста на главном банере в разделе РАЗРАБОТКА МОБИЛЬНЫХ ПРИЛОЖЕНИЙ ДЛЯ IOS в русской локализации.,assigned,open,
0001202,QA28,Denis,ai_ivanov,high,trivial,always,,General,2023-07-03,,,,private,2023-07-03,"При заполнении формы ""З'ЯВИЛИСЯ ПИТАННЯ?"" не корректными данными, не указано, какое именно поле содержит ошибку.",assigned,open,
0001200,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001199,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001198,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001197,QA28,ChumAlex,,low,text,have not tried,,General,2023-07-02,,,,public,2023-07-02,Отсутствует локализация UA в названии товара,new,open,
0001196,QA28,ChumAlex,,low,trivial,always,,General,2023-07-02,,,,public,2023-07-02,"В ""Заповніть форму нижче"" Валидация оператора мобильной связи Украины отсутствует",new,open,
0001195,QA28,Tetany,ai_ivanov,high,major,always,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует валидация в разделе ""Написать нам "" при найме разработчиков",assigned,open,
0001194,QA28,ChumAlex,,normal,minor,sometimes,,General,2023-07-02,,,,public,2023-07-02,"Не активная ссылка ""Behance"" в Сайд баре.",new,open,
0001193,QA28,ChumAlex,,normal,minor,have not tried,,General,2023-07-02,,,,public,2023-07-02,"Не активная ссылка ""linkedin"" в Сайд баре.",new,open,
0001192,QA28,ChumAlex,,normal,minor,sometimes,,General,2023-07-02,,,,public,2023-07-02,"Не активная ссылка ""Tiktok"" в Сайд баре.",new,open,
0001191,QA28,ChumAlex,,normal,minor,have not tried,,General,2023-07-02,,,,public,2023-07-02,"Не активная ссылка ""Yotube"" в Сайд баре.",new,open,
0001190,QA28,ChumAlex,,low,minor,have not tried,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует локализация UA названия раздела меню ""Технологии""",new,open,
0001189,QA28,ChumAlex,,normal,minor,sometimes,,General,2023-07-02,,,,public,2023-07-02,"Не активная ссылка ""Инстаграм"" в Сайд баре",new,open,
0001188,QA28,ChumAlex,,low,minor,sometimes,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует локализация UA в раздела ""Стрічка""",new,open,
0001187,QA28,ChumAlex,,low,minor,sometimes,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует локализация UA в меню услуг название услуги ""Разработка CRM""",new,open,
0001186,QA28,ChumAlex,,low,trivial,always,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует локализация UA названия раздела ""Портфолио""",new,open,
0001185,QA28,ChumAlex,,low,major,always,,General,2023-07-02,,,,public,2023-07-02,"Отсутствует валидация номера телефона при заполнении ""Зв'яжіться з нами""",new,open,
0001184,QA28,ChumAlex,,normal,trivial,random,,General,2023-07-01,,,,public,2023-07-01,"Отсутствует значок напротив раздела ""Чат с ROZETKA"" слева в боковом меню.",new,open,
0001183,QA28,anna.prokopets,vishnia1,normal,trivial,always,,General,2023-06-30,,,,public,2023-06-30,Отсутствует русская локализация на слайдерах.,assigned,open,
0001182,QA28,Oleksandr Lyshenko,,high,trivial,always,,General,2023-06-30,,,,public,2023-06-30,"При клике на ссылку ""Корм для тварин"", не переводит в соответствующий раздел.",new,open,
0001181,QA28,ninaD,,high,trivial,always,,General,2023-06-30,,,,public,2023-06-30,"Отсутствие валидации в поле ""Ваш номер телефона""",new,open,
0001180,QA28,Tetany,ivanov_ai,high,trivial,always,,General,2023-06-30,,,,public,2023-06-30,"Не активная ссылка ""Рассказать друзьям"" под боковым меню слева",assigned,open,
0001179,QA28,Denis,,high,trivial,have not tried,,General,2023-06-30,,,,public,2023-06-30,"Ссылка ""Раскрыть текст"" не меняется, после раскрытия текста.",new,open,
0001175,QA28,valertatest,ai_ivanov,high,trivial,random,,General,2023-06-29,,,,public,2023-06-30,"При оформлении заказа выдает ошибку 404 после нажатия на кнопку  ""Отправить заказ""",assigned,open,
0001178,QA28,YuliiaNT,,high,minor,have not tried,,General,2023-06-30,Chrome,,,public,2023-06-30,"При попытке сменить локализацию на UA , переходит на главную страницу",new,open,
0001177,QA28,anna.prokopets,,high,trivial,always,,General,2023-06-30,,,,public,2023-06-30,"Отсутствует украинская локализация в разделе ""Сравнение товаров""",new,open,
0001176,QA28,vishnia1,ivanov_ai,high,trivial,always,,General,2023-06-30,Google Chrome,114.0.5735.198,,public,2023-06-30,"Не активная ссылка ""Розповісти друзям"" под боковым меню ""Каталог товарів""",assigned,open,
0001174,QA28,ninaD,,low,minor,random,,General,2023-06-29,,,,public,2023-06-29,"Отсутствует ""иконка"" в меню ""Чат с Rozetka""",new,open,
0001173,QA28,Oleksandr Lyshenko,,normal,trivial,always,,General,2023-06-29,,,,public,2023-06-29,"Отсутствует иконка ""Чат з ROZETKA"" в боковом меню слева на главной странице.",new,open,
0001170,QA28,Tetany,,normal,minor,always,,General,2023-06-29,10 ,,Windows,public,2023-06-29,Отсутствует иконка чат с розетка  в боковом меню,new,open,
0001171,QA28,Denis,,normal,trivial,always,,General,2023-06-29,,,,public,2023-06-29,"В боковом меню слева отсутствует иконка в разделе ""Чат з Rozetka""",new,open,
0001172,QA28,YuliiaNT,,low,minor,have not tried,,General,2023-06-29,Chrome,,,public,2023-06-29,"Отсутствует ""иконка"" в меню ""Чат с Rozetka""",new,open,
0001169,QA28,vishnia1,,low,trivial,always,,General,2023-06-29,Google Chrome, 114.0.5735.198 ,,public,2023-06-29,"Отсутствует виджет ""зеленая стрелочка"" слева от ""Чат з ROZETKA"" в разделе ""Категории""",new,open,
0001168,QA28,valertatest,,low,minor,always,,General,2023-06-29,,,,public,2023-06-29,Отсутствие иконки телеграмм в в навигационном меню,new,open,
0001167,QA28,anna.prokopets,,low,trivial,random,,General,2023-06-29,,,,public,2023-06-29,"Отсутствует значок напротив раздела ""Чат с ROZETKA"" слева в боковом меню.",new,open,
